Date,Envelope,Account,Name,Notes,Amount
8/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
8/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
8/1/2025,Shopping & Fun,My Account,Bride Ministries,,-25
8/1/2025,Shopping & Fun,My Account,Amazon,,-20
8/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
8/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
8/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
7/31/2025,Shopping & Fun,My Account,Amazon,,-8
7/30/2025,Shopping & Fun,My Account,Bride Ministries,,-5
7/30/2025,Shopping & Fun,My Account,Home Depot,,-16
7/25/2025,Groceries ,My Account,Sprouts,,-7
7/25/2025,Groceries ,My Account,Trader Joes,,-72
7/25/2025,Groceries ,My Account,Holiday Market,,-16
7/25/2025,Groceries ,My Account,Lao Market,,-94
7/24/2025,Groceries ,My Account,Costco,,-224
7/20/2025,Shopping & Fun,My Account,Amazon,,-149
7/17/2025,Shopping & Fun,My Account,Bride Ministries,,-340
7/16/2025,Groceries ,My Account,Taste & See Creamery,,-17
7/16/2025,Trips and Eating out,My Account,Taste & See Creamery,,-19
7/15/2025,Groceries ,My Account,Costco,,-204
7/15/2025,Trips and Eating out,My Account,Costco Food,,-12
7/15/2025,Vehicle,My Account,Gas,,-21
7/14/2025,Shopping & Fun,My Account,Bride Ministries,,-250
7/7/2025,"Rent, Mortgage & Utilities ",My Account,USPS PO Box 6 Month,,-94
7/7/2025,Shopping & Fun,My Account,Gettysburg Movie,,-11
7/7/2025,Groceries ,My Account,Costco,,-245
7/6/2025,Shopping & Fun,My Account,Bride Ministries,,-170
7/5/2025,Shopping & Fun,My Account,True Leaf,,-94
7/4/2025,Shopping & Fun,My Account,Tarrif Linen Bedding,,-101
7/3/2025,Vehicle,My Account,Gas,,-33
7/2/2025,Trips and Eating out,My Account,Costco,,-5
7/2/2025,Vehicle,My Account,Gas,,-32
7/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
7/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
7/1/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-80
7/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
7/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
7/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
6/27/2025,Groceries ,My Account,Costco,,-147
6/27/2025,Vehicle,My Account,Gas,,-20
6/23/2025,Shopping & Fun,My Account,Khols,,-75
6/22/2025,Groceries ,My Account,Trader Joe’s,,-75
6/22/2025,Trips and Eating out,My Account,Craffle,,-20
6/19/2025,Groceries ,My Account,Costco,,-141
6/19/2025,Vehicle,My Account,Gas,,-19
6/19/2025,Groceries ,My Account,Food Maxx,,-20
6/17/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-121
6/17/2025,Shopping & Fun,My Account,Home Depot,,-26
6/11/2025,Groceries ,My Account,Costco,,-150
6/8/2025,Shopping & Fun,My Account,Amazon,,-11
6/8/2025,Shopping & Fun,My Account,Amazon,,-145
6/7/2025,Shopping & Fun,My Account,Freedom Flowers,,-130
6/7/2025,Shopping & Fun,My Account,Etsy,,"-1,050.00"
6/6/2025,Shopping & Fun,My Account,Audible,,-30
6/6/2025,Groceries ,My Account,Holiday Market,,-12
6/5/2025,Shopping & Fun,My Account,Amazon,,-24
6/5/2025,Shopping & Fun,My Account,Amazon,,-9
